,LO1,LA1,EL1,LO1,LA1,EL1,VISIBLE
245,87.2,27.5,805.8582764,86.7,28.1,6924.729492,5579.144761
246,87.3,26.6,98.19235229,87.1,27.9,7346.435547,5575.809297
247,84.5,28.2,1061.746948,83.5,28.7,7631.313477,5575.690168
248,83.2,27.3,87.3639679,83.5,28.7,7631.313477,5571.71098
249,86.4,26.9,429.9731445,87.1,27.9,7346.435547,5569.840641
250,86.5,26.9,530.4699097,87.1,27.9,7346.435547,5568.877572
251,84.3,27.5,184.6207428,83.5,28.7,7631.313477,5563.99818
252,86.7,26.7,260.8666687,87.1,27.9,7346.435547,5563.971026
253,82.5,27.6,137.5288849,83.5,28.7,7631.313477,5563.107107
254,86.5,26.7,111.7955551,87.1,27.9,7346.435547,5559.641847
255,83.8,27.3,100.6366806,83.5,28.7,7631.313477,5558.438267
256,85.2,27.9,532.8026733,85.8,28.2,6449.25293,5556.67638
257,83.8,28.2,1766.923828,83.5,28.7,7631.313477,5553.91961
258,84.1,27.4,165.4223175,83.5,28.7,7631.313477,5551.729988
259,87.1,27.1,540.6925659,86.9,28,6908.385742,5550.32504
260,82.2,28,334.8918457,83.5,28.7,7631.313477,5548.850743
261,84.2,27.5,315.6770325,83.5,28.7,7631.313477,5546.320694
262,86.1,27.5,757.4044189,86.7,28.1,6924.729492,5543.990202
263,86.7,27.1,547.0845947,86.9,28,6908.385742,5543.933012
264,86.5,27,740.3955688,87.1,27.9,7346.435547,5543.768644
265,82.4,27.7,206.8622284,83.5,28.7,7631.313477,5540.035325
266,86.3,26.8,141.9037628,87.1,27.9,7346.435547,5538.632292
267,83.2,28.3,1874.980957,83.5,28.7,7631.313477,5533.36181
268,86.6,27.3,1273.014526,87.1,27.9,7346.435547,5532.961052
269,87.4,26.6,102.7664413,87.1,27.9,7346.435547,5532.851149
270,88.4,26.8,160.4662476,88.1,27.6,6383.129883,5531.872021
271,86.8,26.6,104.3798904,87.1,27.9,7346.435547,5531.2377
272,84.4,28.3,1338.547729,83.5,28.7,7631.313477,5529.582189
273,82.8,27.4,90.44000244,83.5,28.7,7631.313477,5528.360848
274,82.9,28.1,1482.688599,83.5,28.7,7631.313477,5528.264387
275,82.4,27.8,408.2051086,83.5,28.7,7631.313477,5524.110851
276,86.2,27.4,965.3289185,87.1,27.9,7346.435547,5520.835922
277,82.5,28.6,1355.702271,83.5,28.7,7631.313477,5517.72785
278,86.7,27.4,1464.083252,87.1,27.9,7346.435547,5517.526321
279,83.1,27.3,88.93280029,83.5,28.7,7631.313477,5517.135034
280,87.2,27.3,287.8613892,87,27.7,5990.612793,5516.781791
281,87.7,26.7,154.7442322,87.1,27.9,7346.435547,5516.69317
282,86.9,26.9,219.4210815,86.9,28,6908.385742,5513.593691
283,82.6,27.5,107.8064194,83.5,28.7,7631.313477,5512.31757
284,86.1,27.1,448.543396,87.1,27.9,7346.435547,5511.87628
285,84.5,27.6,190.3158569,83.5,28.7,7631.313477,5510.320135
286,86.1,27,285.5653381,87.1,27.9,7346.435547,5509.0278
287,83.8,27.8,1268.274292,83.5,28.7,7631.313477,5508.280706
288,83.9,27.3,99.60379028,83.5,28.7,7631.313477,5506.464044
289,87.8,26.8,187.4114838,88.1,27.6,6383.129883,5504.926785
290,88.6,26.9,210.4506226,88.1,27.6,6383.129883,5504.820173
291,82.7,28.1,1298.115112,83.5,28.7,7631.313477,5502.362058
292,88.3,26.8,229.091629,88.1,27.6,6383.129883,5501.663267
293,86.6,27.1,1039.992798,87.1,27.9,7346.435547,5493.633508
294,87.2,27.3,287.8613892,87,27.8,6052.665039,5491.445951
295,87.1,27,1081.624023,87.1,27.9,7346.435547,5477.93091
296,86.1,26.9,131.9841156,87.1,27.9,7346.435547,5477.357667
297,86.7,26.6,107.4077072,87.1,27.9,7346.435547,5474.472364
298,87.5,26.8,574.2528687,87.1,27.9,7346.435547,5474.117538
299,87.5,26.6,108.0518494,87.1,27.9,7346.435547,5473.828222
300,86.7,27.5,1597.555542,87.1,27.9,7346.435547,5471.596619
301,86.6,26.7,285.7956238,87.1,27.9,7346.435547,5470.011746
302,88.5,26.8,169.4483032,88.1,27.6,6383.129883,5469.106851
303,87.5,27.1,1135.630615,87.1,27.9,7346.435547,5466.781953
304,87.7,26.8,429.3883362,87.1,27.9,7346.435547,5465.716668
305,86.4,26.7,109.9871979,87.1,27.9,7346.435547,5461.740849
306,88.3,27.1,650.3234863,88.1,27.6,6383.129883,5459.323572
307,82.1,28,222.1286926,83.5,28.7,7631.313477,5458.479908
308,82.3,28,618.5211792,83.5,28.7,7631.313477,5453.310919
309,86.2,26.8,100.6137848,87.1,27.9,7346.435547,5449.649753
310,83.9,27.5,662.3007202,83.5,28.7,7631.313477,5449.133413
311,84.4,28.1,1225.170776,83.5,28.7,7631.313477,5447.518965
312,83,27.3,92.18696594,83.5,28.7,7631.313477,5445.729141
313,86.4,27.1,908.2597046,87.1,27.9,7346.435547,5441.938105
314,86.8,26.9,866.0635986,87.1,27.9,7346.435547,5440.009813
315,86.3,27,221.9893341,86.9,28,6908.385742,5439.893347
316,88.6,26.8,132.146225,88.1,27.6,6383.129883,5437.259492
317,82.2,28.1,574.9777222,83.5,28.7,7631.313477,5436.241787
318,88.5,27.2,675.3081665,88.1,27.6,6383.129883,5429.912823
319,84,27.3,109.646225,83.5,28.7,7631.313477,5428.269882
320,88.1,26.7,168.342041,88.1,27.6,6383.129883,5428.026069
321,88,26.7,161.7522888,88.1,27.6,6383.129883,5426.92571
322,84.5,27.8,664.019043,83.5,28.7,7631.313477,5426.58808
323,88.2,26.8,327.447113,88.1,27.6,6383.129883,5426.357807
324,88.2,26.7,162.4229279,88.1,27.6,6383.129883,5426.255071
325,87.2,27.4,1068.594971,86.9,28,6908.385742,5421.552712
326,86.1,27.5,757.4044189,86.9,28,6908.385742,5421.230224
327,82.3,27.7,154.2993011,83.5,28.7,7631.313477,5419.074409
328,88.3,26.7,149.0181885,88.1,27.6,6383.129883,5416.589501
329,82.4,27.6,126.2777481,83.5,28.7,7631.313477,5415.776725
330,87.3,26.9,928.8574219,87.1,27.9,7346.435547,5415.498881
331,88.4,26.7,112.9060135,88.1,27.6,6383.129883,5414.251238
332,86.7,27.3,988.3550415,86.9,28,6908.385742,5413.558505
333,87.3,27.6,1817.289063,87.1,27.9,7346.435547,5411.279434
334,86.6,26.6,102.2412033,87.1,27.9,7346.435547,5410.548054
335,82.7,27.4,95.31037903,83.5,28.7,7631.313477,5410.008829
336,87.6,26.6,103.4042053,87.1,27.9,7346.435547,5409.385052
337,87.1,27.4,1121.033447,86.9,28,6908.385742,5407.188289
338,86.7,27.1,547.0845947,86.7,28.1,6924.729492,5406.256263
339,87.9,26.8,325.3027649,88.1,27.6,6383.129883,5405.452131
340,86.3,27,221.9893341,86.7,28.1,6924.729492,5405.204716
341,88.7,26.9,230.0132141,88.1,27.6,6383.129883,5400.816671
342,86.4,27,346.4159851,86.9,28,6908.385742,5399.529665
343,86.8,27,530.0169067,86.9,28,6908.385742,5399.340486
344,83.7,27.8,1418.298706,83.5,28.7,7631.313477,5395.946654
345,82.3,28.6,1150.369507,83.5,28.7,7631.313477,5393.878662
346,84.8,28,490.6791992,83.5,28.7,7631.313477,5393.06339
347,84.2,27.4,226.2101593,83.5,28.7,7631.313477,5392.590691
348,87.2,27.3,287.8613892,88.1,27.6,6383.129883,5388.27732
349,82.2,27.8,184.5714417,83.5,28.7,7631.313477,5385.942484
350,86.9,26.8,124.8666687,86.9,28,6908.385742,5384.738648
351,79.3,30.3,848.2617188,79.7,30.7,6503.758301,5384.702212
352,87.3,27.1,616.623291,86.9,28,6908.385742,5382.769997
353,82.7,28.7,1770.558472,83.5,28.7,7631.313477,5382.379392
354,82.3,28.8,1164.816528,83.5,28.7,7631.313477,5381.488578
355,82.5,27.7,526.2666626,83.5,28.7,7631.313477,5379.067473
356,85,27.8,436.0706177,85.8,28.2,6449.25293,5373.141331
357,87.1,26.8,105.9111099,86.9,28,6908.385742,5373.07123
358,86.4,27.2,1124.292969,87.1,27.9,7346.435547,5371.957339
359,82.5,27.5,107.9629593,83.5,28.7,7631.313477,5368.550358
360,88.7,26.8,118.2207184,88.1,27.6,6383.129883,5366.669448
361,82.9,27.3,88.70796967,83.5,28.7,7631.313477,5365.912005
362,87.3,27.3,945.8250732,86.9,28,6908.385742,5364.628378
363,87.1,26.5,78.76829529,87.1,27.9,7346.435547,5363.666042
364,86.3,26.7,95.74435425,87.1,27.9,7346.435547,5360.935255
365,87,26.8,142.0918579,86.9,28,6908.385742,5359.857709
366,87.2,26.5,77.27575684,87.1,27.9,7346.435547,5357.475048
367,87.4,26.8,744.6296387,87.1,27.9,7346.435547,5357.384027
368,88.3,27.3,908.15979,88.1,27.6,6383.129883,5356.953794
